434,272
481,176
507,74
511,-32
494,-136
455,-235
397,-323
322,-398
233,-456
135,-494
30,-511
-76,-506
-178,-480
-273,-433
-356,-368
-424,-287
-474,-193
-504,-92
-512,14
-498,119
-463,219
-408,309
-336,386
-249,447
-152,489
-48,510
58,509
161,486
258,443
343,380
414,301
467,210
500,109
512,4
502,-101
470,-202
419,-295
349,-374
265,-438
169,-483
66,-508
-40,-510
-144,-491
-242,-451
-329,-392
-403,-316
-459,-226
-496,-127
-512,-22
-505,83
-477,185
-429,280
-362,362
-280,429
-186,477
-84,505
22,512
126,496
226,460
315,403
392,330
451,242
491,144
510,40
508,-65
483,-169
439,-264
375,-349
295,-418
203,-470
102,-502
-4,-512
-109,-500
-209,-467
-301,-414
-380,-343
-442,-258
-486,-162
-509,-58
-510,48
-489,151
-448,249
-387,335
-310,408
-219,463
-119,498
-14,512
91,504
193,474
286,425
367,357
433,274
480,179
506,76
511,-30
494,-134
456,-233
398,-322
324,-397
235,-455
137,-493
33,-511
-73,-507
-176,-481
-271,-434
-355,-369
-423,-289
-473,-196
-503,-94
-512,11
-499,116
-464,217
-410,307
-338,385
-251,446
-154,488
-51,510
55,509
159,487
256,444
341,382
412,303
466,212
500,112
512,7
502,-99
471,-200
420,-293
351,-373
267,-437
171,-482
68,-507
-37,-511
-142,-492
-240,-452
-328,-393
-402,-318
-458,-228
-495,-129
-511,-25
-506,81
-478,183
-430,278
-364,360
-282,427
-188,476
-86,505
19,512
124,497
224,461
314,405
390,332
450,244
491,147
510,43
508,-63
484,-166
440,-262
376,-347
297,-417
205,-469
104,-501
-1,-512
-107,-501
-207,-468
-299,-416
-378,-345
-441,-260
-485,-164
-508,-61
-510,45
-490,149
-449,247
-388,334
-312,406
-221,462
-122,497
-17,512
89,504
191,475
284,426
366,358
432,276
479,181
506,79
511,-27
495,-132
457,-231
400,-320
326,-395
237,-454
139,-493
35,-511
-71,-507
-174,-482
-269,-436
-353,-371
-422,-291
-472,-198
-503,-96
-512,9
-499,114
-465,214
-411,305
-339,383
-253,445
-156,488
-53,509
53,509
157,487
253,445
340,383
411,305
465,214
499,114
512,9
503,-97
472,-198
421,-291
353,-371
269,-436
174,-482
71,-507
-35,-511
-139,-493
-238,-454
-326,-395
-400,-320
-457,-230
-495,-132
-511,-27
-506,79
-479,181
-431,276
-366,358
-284,426
-190,475
-89,504
17,512
122,497
221,462
312,406
389,333
449,246
490,149
510,45
508,-61
485,-164
441,-260
378,-345
299,-416
207,-468
106,-501
1,-512
-104,-501
-205,-469
-297,-417
-377,-347
-440,-262
-484,-166
-508,-63
-510,43
-490,147
-450,245
-390,332
-313,405
-223,461
-124,497
-19,512
86,505
188,476
282,427
364,360
430,277
478,183
506,81
511,-25
495,-129
458,-229
401,-318
327,-394
240,-453
141,-492
37,-511
-69,-507
-171,-482
-267,-437
-351,-373
-420,-293
-471,-200
-502,-99
-512,7
-500,112
-466,212
-412,303
-341,382
-255,444
-159,487
-55,509
51,509
154,488
251,446
338,385
410,307
464,216
499,116
512,11
503,-94
473,-196
423,-289
354,-370
271,-434
176,-481
73,-507
-33,-511
-137,-493
-236,-455
-324,-396
-399,-321
-456,-233
-494,-134
-511,-29
-506,76
-480,179
-433,274
-367,357
-286,425
-193,474
-91,504
15,512
120,498
219,463
310,408
387,335
448,249
489,151
510,47
509,-58
486,-162
442,-258
380,-344
301,-414
209,-467
109,-500
3,-512
-102,-502
-203,-470
-295,-418
-375,-349
-439,-264
-484,-168
-508,-65
-510,40
-491,145
-451,242
-391,330
-315,403
-226,460
-126,496
-22,512
84,505
186,477
280,428
362,362
429,279
477,185
505,83
512,-22
496,-127
459,-226
403,-316
329,-392
242,-451
144,-491
40,-510
-66,-508
-169,-483
-265,-438
-349,-374
-419,-294
-470,-202
-502,-101
-512,4
-500,110
-467,210
-414,302
-343,380
-257,443
-161,486
-58,509
48,510
152,489
249,447
336,386
408,309
463,218
498,119
512,14
504,-92
474,-193
424,-287
356,-368
273,-433
178,-480
75,-506
-30,-511
-135,-494
-233,-456
-322,-398
-397,-323
-455,-235
-494,-136
-511,-32
-507,74
-481,177
-434,272
-369,355
-288,423
-195,474
-93,503
12,512
117,498
217,464
308,409
385,337
446,251
488,153
510,50
509,-56
487,-160
443,-256
381,-342
303,-413
211,-466
111,-500
6,-512
-100,-502
-201,-471
-293,-420
-373,-350
-437,-266
-483,-171
-508,-68
-511,38
-492,142
-452,240
-393,328
-317,402
-228,459
-129,496
-24,511
82,505
184,478
278,430
361,363
428,281
476,187
505,86
512,-20
497,-125
460,-224
404,-314
331,-391
244,-450
146,-491
42,-510
-64,-508
-167,-484
-263,-439
-348,-376
-418,-296
-470,-204
-501,-103
-512,2
-501,107
-468,208
-415,300
-345,379
-259,441
-163,485
-60,508
46,510
150,490
247,448
334,388
407,311
462,221
498,121
512,16
504,-90
475,-191
425,-285
358,-366
275,-432
180,-479
78,-506
-28,-511
-132,-495
-231,-457
-320,-399
-396,-325
-454,-237
-493,-138
-511,-34
-507,72
-481,174
-435,270
-370,353
-290,422
-197,473
-96,503
10,512
115,499
215,465
306,410
384,339
445,253
488,156
509,52
509,-54
487,-157
444,-254
383,-340
305,-412
214,-465
113,-499
8,-512
-97,-503
-199,-472
-291,-421
-372,-352
-436,-268
-482,-173
-507,-70
-511,36
-492,140
-453,238
-394,326
-319,401
-230,458
-131,495
-26,511
79,506
182,479
276,431
359,365
426,283
476,190
504,88
512,-18
497,-123
461,-222
406,-312
333,-389
246,-449
148,-490
44,-510
-62,-508
-165,-485
-261,-441
-346,-377
-416,-298
-469,-206
-501,-106
-512,-0
-501,105
-469,206
-417,298
-346,377
-261,440
-165,485
-62,508
44,510
148,490
245,449
332,389
405,313
461,223
497,123
512,18
505,-87
476,-189
427,-283
359,-365
277,-431
182,-478
80,-506
-26,-511
-130,-495
-229,-458
-318,-401
-394,-327
-453,-239
-492,-141
-511,-36
-507,69
-482,172
-436,268
-372,352
-292,421
-199,472
-98,503
8,512
113,499
213,466
304,412
382,341
444,255
487,158
509,54
509,-51
488,-155
446,-252
384,-338
307,-410
216,-464
116,-499
11,-512
-95,-503
-196,-473
-289,-422
-370,-354
-435,-270
-481,-175
-507,-72
-511,33
-493,138
-454,236
-396,325
-321,399
-232,456
-133,494
-29,511
77,506
180,479
274,432
357,367
425,285
475,192
504,90
512,-15
498,-120
462,-220
407,-310
335,-387
248,-448
150,-489
47,-510
-59,-509
-163,-486
-259,-442
-344,-379
-415,-300
-468,-208
-501,-108
-512,-3
-502,103
-470,204
-418,296
-348,375
-263,439
-168,484
-65,508
41,510
145,491
243,451
331,391
404,315
460,225
496,125
512,21
505,-85
477,-187
428,-281
361,-363
279,-429
185,-478
82,-505
-23,-511
-128,-496
-227,-459
-317,-402
-393,-329
-452,-241
-492,-143
-511,-39
-508,67
-483,170
-438,266
-374,350
-294,419
-201,471
-100,502
5,512
110,500
211,467
302,413
381,342
443,257
486,160
509,57
510,-49
489,-153
447,-250
386,-337
308,-409
218,-463
118,-498
13,-512
-93,-504
-194,-474
-287,-424
-368,-356
-434,-272
-480,-177
-507,-75
-511,31
-494,136
-455,234
-397,323
-323,398
-234,455
-135,494
-31,511
75,507
177,480
272,434
356,368
424,287
474,194
504,92
512,-13
498,-118
463,-218
409,-309
336,-386
250,-447
153,-489
49,-510
-57,-509
-160,-486
-257,-443
-342,-381
-413,-302
-467,-211
-500,-110
-512,-5
-502,100
-471,201
-419,294
-350,374
-266,438
-170,483
-67,508
39,511
143,492
241,452
329,392
402,316
459,227
496,128
511,23
505,-83
478,-185
429,-279
363,-361
281,-428
187,-477
85,-505
-21,-512
-126,-496
-225,-460
-315,-404
-391,-330
-451,-243
-491,-145
-510,-41
-508,65
-484,168
-439,264
-375,348
-296,418
-203,470
-103,502
3,512
108,500
209,468
300,415
379,344
442,259
486,162
509,59
510,-47
489,-151
448,-248
387,-335
310,-407
220,-462
120,-498
15,-512
-90,-504
-192,-475
-286,-425
-367,-357
-432,-274
-480,-179
-506,-77
-511,29
-494,133
-456,232
-399,321
-324,396
