4452,-15767
1115,-16346
-2270,-16226
-5557,-15412
-8607,-13940
-11290,-11873
-13490,-9298
-15113,-6325
-16091,-3083
-16381,292
-15971,3653
-14879,6859
-13150,9772
-10860,12267
-8106,14238
-5005,15600
-1691,16296
1696,16295
5010,15599
8110,14235
10864,12263
13153,9768
14881,6855
15972,3648
16381,286
16090,-3088
15111,-6330
13487,-9302
11286,-11876
8603,-13943
5553,-15414
2265,-16226
-1120,-16345
-4457,-15766
-7603,-14512
-10425,-12639
-12801,-10226
-14630,-7375
-15833,-4210
-16361,-864
-16189,2518
-15325,5793
-13807,8820
-11698,11471
-9090,13631
-6093,15208
-2836,16136
543,16375
3898,15913
7087,14772
9972,12999
12432,10671
14360,7887
15675,4765
16320,1441
16268,-1946
15520,-5249
14109,-8328
12095,-11051
9565,-13302
6625,-14984
3403,-16026
35,-16383
-3334,-16041
-6561,-15012
-9508,-13343
-12048,-11103
-14073,-8388
-15497,-5315
-16259,-2015
-16326,1371
-15695,4698
-14394,7825
-12478,10617
-10028,12956
-7150,14741
-3966,15896
-613,16372
2766,16148
6027,15234
9031,13670
11649,11521
13769,8879
15300,5859
16178,2588
16364,-794
15851,-4142
14661,-7312
12844,-10171
10479,-12594
7665,-14480
4524,-15746
1190,-16340
-2195,-16236
-5486,-15438
-8543,-13980
-11235,-11924
-13447,-9360
-15084,-6395
-16076,-3157
-16382,216
-15988,3580
-14910,6791
-13195,9711
-10917,12217
-8171,14200
-5077,15577
-1766,16288
1621,16303
4938,15622
8045,14272
10807,12313
13108,9828
14849,6923
15955,3722
16380,362
16104,-3014
15140,-6260
13530,-9240
11341,-11824
8667,-13903
5623,-15388
2339,-16216
-1045,-16350
-4384,-15786
-7536,-14547
-10366,-12687
-12753,-10284
-14596,-7442
-15814,-4282
-16357,-939
-16200,2444
-15352,5722
-13847,8757
-11751,11417
-9152,13589
-6163,15180
-2910,16123
467,16377
3825,15931
7019,14804
9912,13045
12383,10728
14324,7953
15653,4838
16313,1516
16276,-1871
15544,-5177
14147,-8263
12146,-10995
9626,-13258
6694,-14953
3477,-16010
111,-16383
-3260,-16056
-6492,-15042
-9446,-13386
-11997,-11158
-14034,-8453
-15473,-5387
-16250,-2090
-16332,1295
-15717,4626
-14430,7759
-12526,10560
-10088,12910
-7218,14708
-4039,15878
-688,16369
2692,16161
5957,15262
8968,13711
11596,11574
13728,8943
15273,5929
16166,2662
16368,-719
15870,-4069
14695,-7245
12891,-10111
10537,-12546
7732,-14444
4597,-15725
1265,-16335
-2120,-16246
-5415,-15463
-8479,-14019
-11180,-11976
-13404,-9421
-15054,-6464
-16062,-3231
